"Spec"	"Species names"	"BodyMass"	"sessile/mobile"	"Cluster"	"Shore Height 1 conservative"	"ShoreHt_C_Ordinal"	"ShoreHt_C_Breadth"	"Shore Height 2 restrictive"	"ShoreHt_R_Ordinal"	"ShortHt_R_Breadth"	"Phyllum"	"subphyllum"	"trophic"
"75"	79	"peysonella spp."	0.05	"S"	10	"high, mid, low"	2	3	"mid, low"	1.5	2	"Algae"	"Rhodophyta"	"Corticated"
"76"	80	"phragmatopoma spp."	2.5	"S"	13	"mid, low"	1.5	2	"low"	1	1	"Annelida"	"Polychaeta"	"FilterFeeder"
"77"	81	"phymactis spp."	11.91	"S"	2	"mid, low"	1.5	2	"mid, low"	1.5	2	"Cnidaria"	"Anthozoa"	"Scavenger"
"78"	82	"plocamium cartilageneum"	5	"S"	12	"low"	1	1	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"79"	83	"polysiphonia_spp"	0.88	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Ephemeral"
"80"	84	"pyropia spp"	1.21	"S"	10	"high"	3	1	"high"	3	1	"Algae"	"Rhodophyta"	"Ephemeral"
"81"	85	"prionitis spp"	2.8	"S"	12	"mid, low"	1.5	2	"mid, low"	1.5	2	"Algae"	"Rhodophyta"	"Corticated"
"82"	86	"pyura chilensis"	2.91	"S"	13	"mid, low"	1.5	2	"low"	1	1	"Chordata"	"Ascidiacea"	"FilterFeeder"
"83"	87	"ralfsia californica"	0.05	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Phaeophyta"	"Crustose"
"84"	88	"Rhizoclonium ambiguum"	1.3	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Chaetophyta"	"Ephemeral"
"85"	89	"Gastroclonium cyclindricum"	2	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"86"	90	"rhodymenia sp"	2.47	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"87"	91	"sarcothalia"	2.5	"S"	11	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"88"	92	"schottera nicaensis"	2.53	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"89"	93	"schyzimenia doryophora"	3	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"90"	94	"scythosiphon lomentaria"	1.5	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Rhodophyta"	"Ephemeral"
"91"	95	"semimytilus algosus"	0.04	"S"	5	"mid, low"	1.5	2	"mid, low"	1.5	2	"Mollusca"	"Bivalvia"	"FilterFeeder"
"92"	96	"trematocarpus"	3.33	"S"	12	"mid, low"	1.5	2	"low"	1	1	"Algae"	"Rhodophyta"	"Corticated"
"93"	97	"ulva rigida"	2.33	"S"	11	"mid, low"	1.5	2	"mid"	2	1	"Algae"	"Chaetophyta"	"Ephemeral"
"94"	98	"ulvella spp."	0.002	"S"	11	"high, mid, low"	2	3	"high, mid, low"	2	3	"Algae"	"Chaetophyta"	"Ephemeral"
"95"	99	"plankton"	1e-05	NA	4	"high, mid, low"	2	3	"high, mid, low"	2	3	NA	NA	NA
"96"	100	"gulls"	500	"M"	1	"high, mid, low"	2	3	"high, mid, low"	2	3	"Chordata"	"Aves"	"Predators"
"97"	101	"cinclodes nigrofumosus"	280	"M"	1	"high, mid, low"	2	3	"high, mid, low"	2	3	"Chordata"	"Aves"	"Predators"
"98"	102	"Echinolittorina peruviana"	0.0129	"M"	4	"high"	3	1	"high"	3	1	"Mollusca"	"Gastropoda"	"Herbivore"
"99"	103	"austrolittorina araucana"	0.0068	"M"	4	"high"	3	1	"high"	3	1	"Mollusca"	"Gastropoda"	"Herbivore"
"100"	104	"onchidella sp."	0.0077	"M"	4	"high, mid, low"	2	3	"high"	2	1	"Mollusca"	"Gastropoda"	"Herbivore"
"101"	105	"Allelopetrolisthes punctatus"	2	"M"	4	"low"	1	1	"low"	1	1	"Arthropoda"	"Crustacae"	"FilterFeeder"
"102"	106	"petrolisthes spinifrons"	2	"M"	4	"low"	1	1	"low"	1	1	"Arthropoda"	"Crustacae"	"FilterFeeder"
"103"	107	"petrolisthes angulosus"	2	"M"	4	"mid, low"	1.5	2	"mid, low"	1.5	2	"Arthropoda"	"Crustacae"	"FilterFeeder"
"104"	108	"petrolisthes tuberculatus"	2	"M"	4	"mid, low"	1.5	2	"mid, low"	1.5	2	"Arthropoda"	"Crustacae"	"FilterFeeder"
"105"	109	"petrolisthes tuberculosus"	2	"M"	4	"low"	1	1	"low"	1	1	"Arthropoda"	"Crustacae"	"FilterFeeder"
"106"	110	"trimusculus peruvianus"	1	"M"	4	"mid, low"	1.5	2	"mid, low"	1.5	2	"Mollusca"	"Gastropoda"	"Herbivore"
